Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
Chocolaterie glacerie A! Un Atelier de Gourmandiziene;Confiserie / chocolat,Glace,Pain / Pâtisserie;;;3 Rue de la Mairie;SAINT-FLORENT-LE-VIEIL;49410;;MAUGES-SUR-LOIRE;;49244;47.36286;-1.01964;;06 32 81 69 84;;;gourmandiziene@hotmail.com;;;;Facebook||https://www.facebook.com/profile.php?id=100057141713016;;Agro-alimentaire;;;oui;Petits chiens uniquement;oui;;;Anglais,Français;;;oui;oui;;;;;;;;;;;;oui;01/01/2025||31/12/2025||||||||||||||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30,01/01/2026||31/12/2026||||||||||||||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30||||||13:00||18:30;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.36286, -1.01964;Maine-et-Loire
Escargots Petit Pré;Escargot;;;3 rue des Petits Prés;;49140;;CORNILLE-LES-CAVES;;49107;47.5011;-0.30195;;06 63 45 72 40;;;escargots@petit-pre.fr;https://escargots-petit-pre.fr/categorie-produit/nos-produits/;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;oui;;;Français;;;oui;oui;;;oui;oui;non;oui;;oui;Français;non;;oui;;;;;;;;47.5011, -0.30195;Maine-et-Loire
Espace sculptural Marcel Daniel;;;;4 route de l'Océan;Pompas;44410;;HERBIGNAC;;44072;47.40847;-2.35549;;06 88 85 63 53;02 40 91 43 05;;daniel.sculpteur@wanadoo.fr;http://www.danielsculpteur.fr;;;;;Artisanat / Art;;;oui;;oui;;;;;;;;;1h15;;;oui;;oui;;;oui;;;;;;;;;;47.40847, -2.35549;Loire-Atlantique
Kustom Design;;;;5 Rue François Coudreux;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7287915;0.574395;;06 73 90 03 32;;;kustomdesign72@gmail.com;;;;;;Artisanat / Art;;;;;oui;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.7287915, 0.574395;Sarthe
Domaine des Roches Neuves;Vins;;;56, boulevard Saint-Vincent;;49400;;VARRAINS;;49362;47.22454;-0.06416;;;02 41 52 94 02;;thierry-germain@wanadoo.fr;http://www.rochesneuves.com;;;;;Viticulture;Agriculture Biologique (AB);;;;oui;;;;"Saumur;Saumur Blanc;Saumur Champigny";;;oui;;;;;;;;oui;Français;;;;01/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.22454, -0.06416;Maine-et-Loire
Domaine des Vernes;Vins;;;7 Boulevard de Caulx;Chacé;49400;;BELLEVIGNE-LES-CHATEAUX;;49060;47.2152;-0.07583;;;02 41 52 99 13;;domainedesvernes@free.fr;;;;Facebook||https://www.facebook.com/Domaine-Des-Vernes-545174398992564/;;Viticulture;Haute valeur environnementale (HVE);;;;oui;;;Anglais,Français;"Coteaux de Saumur;Saumur;Saumur Blanc;Saumur Brut;Saumur Champigny;Saumur Rosé";;;oui;;;;;;;;oui;;;;;01/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;47.2152, -0.07583;Maine-et-Loire
Le Secret des Papilles;Vins;;;78-80 avenue du Général de Gaulle;;49400;;SAUMUR;;49328;47.264922;-0.072149;;;06 99 42 36 20;;lesecretdespapilles@live.fr;https://www.lesecretdespapilles.fr;;;Facebook||https://www.facebook.com/vanessagodfrin/,Google+||https://maps.google.com/?cid=7709809181327770082,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g187199-d8377808-Reviews-Le_Secret_des_Papilles-Saumur_Maine_et_Loire_Pays_de_la_Loire.html,Instagram||https://www.instagram.com/lesecretdespapilles/;;Loisirs et activités;Vignobles et découvertes;;non;;oui;;;Anglais,Français;;;;;;;;;;;;;;;;non;01/11/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,02/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://boutique.ot-saumur.fr/billetteries-visites/vignoble-et-degustation/le-secret-des-papilles||||||;oui;non;;Cartes bancaires,Espèces,Virement;47.264922, -0.072149;Maine-et-Loire
FORUM MÉTIERS D'ART DE JUBLAINS;;;;9 bis rue du Temple;;53160;;JUBLAINS;;53122;48.2565238;-0.4964508;;;02 43 04 97 92;;contact@forumdesmetiersdart.com;http://www.forumdesmetiersdart.com/;;;Facebook||https://www.facebook.com/forummetiersdart;;Artisanat / Art;Métiers d'art;;;;oui;;;Français;;non;;;;;;;;;;;Français;;;non;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux;48.2565238, -0.4964508;Mayenne
Domaine de la Clartière;Vins;;;9 La Clartière;NUEIL-SUR-LAYON;49560;LYS-HAUT-LAYON;LYS-HAUT-LAYON;;49373;47.13457;-0.34773;;06 37 10 73 40;02 41 59 53 05;;earlpinet@orange.fr;http://www.domainedelaclartiere.com;;;Facebook||https://www.facebook.com/clartiere;;Viticulture;Caves touristiques vignoble de Loire,Haute valeur environnementale (HVE),Terra Vitis,Vigneron Indépendant,Vignobles et découvertes;;;;oui;;;Anglais,Espagnol,Français;"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé de Loire";oui;;oui;;;;;;;;;Français,Anglais,Espagnol;;;oui;01/01/2025||31/12/2025||||||10:00||12:30||15:00||18:00||10:00||12:30||15:00||18:00||10:00||12:30||15:00||18:00||10:00||12:30||15:00||18:00||10:00||12:30||15:00||18:00||10:00||12:30||15:00||18:00||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.13457, -0.34773;Maine-et-Loire
Domaine de Rocheville;Vins;;;Chemin des Hauts de Valbrun;;49730;;PARNAY;;49235;47.226068;0.014442;;;02 41 38 10 00;;contact@domaine-de-rocheville.fr;https://www.domaine-de-rocheville.fr;;;Facebook||https://www.facebook.com/domainederocheville/,Google+||https://maps.google.com/?cid=2617257501871194250,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1236223-d8567023-Reviews-Domaine_de_Rocheville-Parnay_Maine_et_Loire_Pays_de_la_Loire.html,Instagram||https://www.instagram.com/domainederocheville/;;Viticulture;Accueil Vélo,Agriculture Biologique (AB),Caves touristiques excellence,Caves touristiques vignoble de Loire,La Loire à vélo,Vigneron Indépendant,Vignobles et découvertes;;non;;oui;;;Allemand,Anglais,Français;"Crémant de Loire;Saumur;Saumur Blanc;Saumur Champigny;Saumur Rosé";;;oui;90min;90min;oui;oui;;;;oui;;;;;16/09/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||15/06/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,16/06/2025||30/06/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/07/2025||31/08/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/09/2025||14/09/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,15/09/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.226068, 0.014442;Maine-et-Loire
PRODUITS CIDRICOLES : VERGERS DE SAINT MICHEL;Produits cidricoles / Jus de fruit;;;Ferme la Gouronnière;;53350;;SAINT-MICHEL-DE-LA-ROE;;53242;47.872192;-1.116393;;06 22 54 83 26;02 43 06 62 12;02 43 06 62 12;earl.vergers.st.michel@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;oui;;oui;;;Français;;oui;oui;oui;;;;;non;;;;Français,Anglais;non;;;;;||||||02 43 06 62 12||earl.vergers.st.michel@wanadoo.fr;non;;;Chèques bancaires et postaux;47.872192, -1.116393;Mayenne
La Fraiseraie;Confiserie / chocolat,Confiture,Fruits / légumes,Glace,Pain / Pâtisserie,Spiritueux;;;Rue de Strasbourg;Zone de l'Europe;44210;;PORNIC;;44131;47.12645;-2.1201;;;02 40 82 98 56 (boutique);02 40 82 45 84;contact@lafraiseraie.com;http://www.lafraiseraie.com;;;;;Agro-alimentaire;Visitez nos entreprises;;non;;oui;;;;;;;oui;;;;;;;;;;;;;01/01/2024||31/12/2024||||||09:30||12:30||14:00||18:00||09:30||12:30||14:00||18:00||09:30||12:30||14:00||18:00||09:30||12:30||14:00||18:00||09:30||12:30||14:00||18:00||09:30||12:30||14:00||18:00||||||||;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.12645, -2.1201;Loire-Atlantique
L'Ulphacette - Épicerie assiocative;Bières,Biscuit,Brioche et viennoiserie,Confiserie / chocolat,Confiture,Epices / Condiment,Fromage et produit laitier,Fruits / légumes,Huile,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Produits du terroir (boutique),Rillettes,Salaisons,Sel,Viande,Vins,Volailles / Oeufs;2 bis, Grande Rue;;;;72320;;SAINT-ULPHACE;;72322;48.1585387;0.81672039;;;06 35 46 78 81;;ulphacette@gmail.com;https://www.facebook.com/L-Ulphacette-1668392226802655/;;;Facebook||https://www.facebook.com/L-Ulphacette-1668392226802655/;;"Agro-alimentaire;Artisanat / Art;Loisirs et activités";;;oui;;oui;;;Français;;;oui;;;;;;;;;;Français;oui;;oui;;;;;oui;;Chèques bancaires et postaux,Espèces;48.1585387, 0.81672039;Sarthe
LES VENTS DE GRAND LIEU;Fruits / légumes,Volailles / Oeufs;2 Le Pé Chiffolleau;;2 Le Pé Chiffolleau;;44310;;SAINT-LUMINE-DE-COUTAIS;;44174;47.0533331;-1.7007977;;;06 15 19 83 14;;philso.chanso@orange.fr;https://www.earl-lesventsdegrandlieu.fr/;;;;;Agriculture / horticulture / Pêche;;;oui;;oui;;;Français;;oui;;;;;;;;;;;;;;oui;;;;;oui;;Chèques bancaires et postaux;47.0533331, -1.7007977;Loire-Atlantique
ANGORA DE FRANCE;Textile / Habillement / Chaussure;8 La Planche Bru;;;;44118;;LA CHEVROLIERE;;44041;47.0829332;-1.5830685;;;06 11 34 03 56;;angoradefrance@gmail.com;www.angoradefrance.com;;;;;"Agriculture / horticulture / Pêche;Artisanat / Art";Bienvenue à la Ferme;;oui;;oui;;;Français;;;;;;;;;;;;;;;;oui;||||Sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux;47.0829332, -1.5830685;Loire-Atlantique
Domaine Armand David;Vins;Messemé;;122 route du Puy-Notre-Dame;;49260;;VAUDELNAY;;49364;47.147047;-0.243048;;;02 41 52 20 84;;contact@armand-david.com;https://www.armanddavid.com;;;Facebook||https://www.facebook.com/armanddavid2/,Instagram||https://www.instagram.com/domainearmanddavid/,Google+||https://maps.google.com/?cid=13348043749491157311,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1916581-d14983231-Reviews-Domaine_Armand_David-Vaudelnay_Maine_et_Loire_Pays_de_la_Loire.html;;Viticulture;Caves touristiques vignoble de Loire,Haute valeur environnementale (HVE),Vigneron Indépendant;;oui;;oui;;;Français;"Cabernet d'Anjou;Coteaux de Saumur;Crémant de Loire;Saumur;Saumur Blanc;Saumur Brut;Saumur Rouge";oui;;oui;;;oui;oui;;;;oui;;;;oui;01/04/2024||31/10/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/11/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/03/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.147047, -0.243048;Maine-et-Loire
LE B'CHOP;Bières,Café,Spiritueux,Vins;ZAC des Fontenelles;;11 Boulevard des Fontenelles;;49320;;BRISSAC LOIRE AUBANCE;;49050;47.3437646;-0.4252588;;;;;bchop.pub@gmail.com;;;;Facebook||https://www.facebook.com/lebchop,Instagram||https://www.instagram.com/bchop.pub;;"Agro-alimentaire;Loisirs et activités";;;oui;;oui;;;Anglais;;;oui;;;;;;;;;;;;;oui;||||||||||||||||15:00||20:00||||||15:00||20:00||||||15:00||20:00||||||11:00||20:00||||||10:00||12:30||15:00||20:00||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.3437646, -0.4252588;Maine-et-Loire
Maison Louis de Grenelle;Vins;;;839 rue Marceau;;49400;;SAUMUR;;49328;47.250872;-0.075378;;;02 41 50 23 21;;contact@louisdegrenelle.fr;http://www.louisdegrenelle.fr;;;Facebook||https://www.facebook.com/louisdegrenelle/,Google+||https://maps.google.com/?cid=710502238266714883,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g187199-d2138307-Reviews-Caves_Louis_de_Grenelle-Saumur_Maine_et_Loire_Pays_de_la_Loire.html,Instagram||https://www.instagram.com/louis_de_grenelle/?hl=fr;;Viticulture;Accueil Vélo,Caves touristiques excellence,Caves touristiques vignoble de Loire,La Loire à vélo,Qualité Tourisme,Vignobles et découvertes;;non;;oui;;15;Anglais,Français;"Crémant de Loire;Saumur;Saumur Brut";;oui;oui;60min;60min;oui;oui;;;;oui;Français,Anglais;;;oui;01/01/2025||29/03/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,30/03/2025||31/08/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/09/2025||31/10/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/11/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;Tarif groupe adulte||12,00||12,00||Visite + dégustation + 1 bouteille de fines bulles,Tarif indiv. adulte||5,00||5,00||Visite + dégustation,Gratuité||||||Jusqu'à 16 ans;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.250872, -0.075378;Maine-et-Loire
L'Atelier Du Temple;Céramique, faïence, émail;;;4 rue du Temple;;72350;;POILLE-SUR-VEGRE;;72239;47.9174377;-0.2627108;;06 70 99 31 94;02 43 92 15 21;;edith.eyraud@orange.fr;http://www.eyro.fr;;;;;Artisanat / Art;;;;;oui;10;;;;;;oui;1h;1h;;oui;;;;oui;;;;;01/01/2025||31/12/2025||Sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.9174377, -0.2627108;Sarthe
Produits fermiers et légumes - Mitopie;Confiture,Elevage,Fruits / légumes,Viande,Volailles / Oeufs;;;Le Moulin de Favières;;53120;;BRECE;;53042;48.3868163;-0.7733733;;06 78 81 66 20;;;mitopie53@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;oui;10;;Anglais,Français;;;;oui;30 à 45 min;;oui;oui;;non;oui;oui;Français;;;oui;01/01/2025||31/12/2025||Toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux,Espèces;48.3868163, -0.7733733;Mayenne
Domaine Salmon;Vins;;;Les Landes Devin;;44690;;CHATEAU-THEBAUD;;44037;47.1305973;-1.4421;;;02 40 06 53 66;;contact@domaine-salmon-muscadet.com;http://www.domaine-salmon-muscadet.com/;;;Instagram||https://www.instagram.com/domaine.salmon/;;Viticulture;Vigneron Indépendant;;non;Nos amis les animaux ne sont pas acceptés dans le caveau, pour des raisons d'hygiène. Merci par avance de votre compréhension.;oui;10;2;Anglais,Français;"Gros Plant du Pays Nantais;Muscadet Sèvre-et-Maine;Rosé de Loire";;oui;oui;;;non;non;non;non;non;non;Français,Anglais;non;;oui;;Le Liboux Marie||02 40 06 53 66||contact@domaine-salmon-muscadet.com;;;oui;Tarif indiv. enfant||||||Dégustations au caveau avec accords mets-vins (une boisson sans-alcool est prévue pour les enfants et personnes ne buvant pas d'alcool, plus d'informations sur notre site internet), uniquement les samedis matins de avril à juillet inclus.,Tarif indiv. adulte||||||Dégustations au caveau avec accords mets-vins (une boisson sans-alcool est prévue pour les enfants et personnes ne buvant pas d'alcool, plus d'informations sur notre site internet), uniquement les samedis matins de avril à juillet inclus.;Cartes bancaires,Espèces;47.1305973, -1.4421;Loire-Atlantique
Parenthez Décorative;Céramique, faïence, émail,Décoration d'intérieur,Métal,Peinture,Sculpture;;;;La Montagne;72330;;CERANS-FOULLETOURTE;;72051;47.8484017;0.1221277;;06 84 22 25 88;;;parenthezdecorative@gmail.com;;https://www.youtube.com/watch?v=r9F6ugLWgq4;;Instagram||https://www.instagram.com/parenthezdecorative/,||https://www.linkedin.com/in/v%C3%A9ronique-laloue-046246152,Facebook||https://www.facebook.com/ParentheZdecorative/;;Artisanat / Art;Métiers d'art;;non;;oui;10;4;Français;;;;oui;1h;1h;non;oui;non;oui;;oui;Français;;;;;;;;;Tarif groupe adulte||||||50€ pour une groupe de 4 adultes et 100€ pour 8 adultes;Chèques bancaires et postaux,Espèces,Virement;47.8484017, 0.1221277;Sarthe
Domaine de l'Ecu;Spiritueux,Vins;;;;CLOS DE L'ECU;44430;;LE LANDREAU;;44079;47.1958771;-1.3175047;;;02 40 06 40 91;;contact@domaine-ecu.com;https://domaine-ecu.com/;;;Facebook||https://www.facebook.com/pages/Domaine-de-lEcu/196689907038832,Instagram||https://instagram.com#fredniger;;Viticulture;Agriculture biodynamique (Demeter),Agriculture Biologique (AB),Caves touristiques vignoble de Loire;;non;;oui;10;5;Anglais,Espagnol,Français;"Muscadet;Muscadet Sèvre-et-Maine";oui;oui;oui;1h30;1h30;oui;oui;non;oui;oui;oui;Français,Anglais,Espagnol;non;;oui;;CAVEAU||02 40 06 40 91||contact@domaine-ecu.com;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.1958771, -1.3175047;Loire-Atlantique
BRASSERIE LA PAPPOSILÈNE;Bières;;;14 rue du Lion D’or;;49170;;SAINT-GEORGES-SUR-LOIRE;;49283;47.408813;-0.7606191;;06 30 34 03 23;;;contact@papposilene-brasserie.fr;https://papposilene-brasserie.fr/;;;Facebook||https://www.facebook.com/p/Papposil%C3%A8ne-Brasserie-100075503426146/;;Agro-alimentaire;;;non;;oui;12;;Anglais,Français;;oui;oui;oui;10 à 20 minutes;15-30 min;oui;oui;oui;oui;oui;oui;Français,Anglais;oui;;oui;||||||||||||||||||||||||17:00||19:30||||||||||||||||||||||10:00||13:30||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.408813, -0.7606191;Maine-et-Loire
DOMAINE DE LA CHOUANIÈRE;Vins;;;La Chouanière;LES ALLEUDS;49320;;BRISSAC LOIRE AUBANCE;;49050;47.3249;-0.41489;;06 83 21 96 82;02 41 45 58 67;;pb@domainedelachouaniere.com;http://www.domainedelachouaniere.com;;;;;Viticulture;;;;;oui;12;;Français;"Anjou Blanc;Anjou Rouge;Bonnezeaux;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé de Loire";oui;oui;oui;;;non;non;oui;oui;non;non;Français;oui;;oui;;;;;oui;;Chèques bancaires et postaux;47.3249, -0.41489;Maine-et-Loire
DOMAINE DU HAUT BOURG;Vins;;;11, rue de Nantes;;44830;;BOUAYE;;44018;47.1434201;-1.6913543;;;02 40 65 47 69;;contact@hautbourg.fr;;;;;;Viticulture;Caves touristiques vignoble de Loire,Vignobles et découvertes;;;;oui;15;;Anglais;"Gros Plant du Pays Nantais;Muscadet;Muscadet Côtes de Grandlieu";;oui;oui;;;non;oui;non;;non;oui;Français,Anglais;non;Proposition clientèle||ITIPDL044V50XRTF;oui;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.1434201, -1.6913543;Loire-Atlantique
LE JARDIN D'UN RÊVE;Plantes et fleurs;La Poulainerie;751 route de la Houssaye;;;72460;;SAINT-CORNEILLE;;72275;48.067292;0.344522;;06 28 17 15 37;;;lejardindunreve@orange.fr;https://www.lejardindunreve.fr/;;;Facebook||https://www.facebook.com/lejardindunreve/,Instagram||https://www.instagram.com/lejardindunreve/;;Agriculture / horticulture / Pêche;;;;;oui;15;2;Français;;oui;;oui;2h;2h;;oui;non;oui;;oui;Français;non;;oui;;;;;oui;Tarif indiv. adulte||||||De mai à septembre : Atelier 10h00 - 17h00   Cueillette, vapodistillation et viste du jardin sous forme de jeux,Tarif indiv. enfant||||||De mai à septembre : Atelier 10h00 - 17h00   Cueillette, vapodistillation et visite du jardin sous forme de jeux,Tarif groupe adulte||||||De mai à septembre : Atelier 10h00 - 17h00   Cueillette, vapodistillation et visite du jardin sous forme de jeux,Tarif groupe enfant||||||De mai à septembre : Atelier 10h00 - 17h00   Cueillette, vapodistillation et visite du jardin sous forme de jeux;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;48.067292, 0.344522;Sarthe
Les Gorgées de Bière;Bières;;;25 LA BRIE;;44190;;GORGES;;44064;47.1061485;-1.3338207;;;06 82 80 74 99;;lesgorgeesdebiere@free.fr;https://www.facebook.com/Les-Gorg%C3%A9es-de-bi%C3%A8re-101561662530515;;;Facebook||https://www.facebook.com/simon.blouin.5855/;;Agro-alimentaire;;;;;oui;15;3;Français;;;oui;oui;;1 h - 1h30;;oui;oui;;;;Français;oui;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.1061485, -1.3338207;Loire-Atlantique
Domaine des 3 Versants;Vins;;;205 La Févrie;;44690;;MAISDON-SUR-SEVRE;;44088;47.1414519;-1.3811767;;06 82 83 81 63;02 40 54 89 27;;contact@domaine3versants.fr;http://www.domaine3versants.fr;;;;;Viticulture;Accueil Paysan,Caves touristiques vignoble de Loire,Vignobles et découvertes;Déficience auditive,Déficience mentale,Déficience moteur,Déficience visuelle;non;;oui;15;4;Anglais,Français;"Muscadet;Muscadet Sèvre-et-Maine";non;oui;oui;1h;1 h30;oui;oui;oui;non;oui;oui;Français,Anglais;oui;;oui;;Bretonniere Patricia||02 40 54 89 27||contact@domaine3versants.fr;;;oui;Tarif indiv. adulte||15,00||43,00||tarif 1  = visite  des lieux avec dégustation des domaine 15 €/p,tarif 2 = visite des lieux avec initiation  à la dégustation oenologique et apéritif dinatoire,;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.1414519, -1.3811767;Loire-Atlantique
Atelier Patcha;Décoration d'intérieur,Sculpture;;;1 Impasse de l'Église;;72170;;SAINT-MARCEAU;;72297;48.17883;0.1275679;;06 22 45 11 79;;;deldieu@orange.fr;;;;Facebook||https://www.facebook.com/atelierpatcha,Instagram||https://www.instagram.com/atelierpatcha/;;Artisanat / Art;Métiers d'art;;oui;;oui;15;5;Espagnol,Français,Italien;;non;non;;;;non;non;oui;non;non;non;Français,Espagnol,Italien;oui;;oui;;MME DIEU||06 22 45 11 79||deldieu@orange.fr;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.17883, 0.1275679;Sarthe
La Boutique des Métiers d'Art;Bijou,Céramique, faïence, émail,Maroquinerie,Sculpture,Travail du bois,Verre;;;1, place Pierre Désautels;Moulin à Couleurs;72270;;MALICORNE-SUR-SARTHE;;72179;47.8142198;-0.0897256;;07 71 18 07 66;;;collectif-metiers-d-art-malicorne@orange.fr;https://www.4a-de-malicorne.fr/;;;Facebook||https://www.facebook.com/4ademalicorne,Instagram||https://www.instagram.com/4ademalicorne/;;Artisanat / Art;;;oui;de petites tailles;oui;20;;Anglais,Français;;;;;;;;;oui;;;;Français,Anglais;oui;"Partenariat||FMAPDL072V50H8DV;Partenariat||FMAPDL072V50JZCS;Partenariat||FMAPDL072V50JZD3;Partenariat||FMAPDL072V50JZD5;Partenariat||FMAPDL072V50JZDK;Partenariat||FMAPDL072V50JZDN;Partenariat||FMAPDL072V50JZDQ;Partenariat||FMAPDL072V50JZDS;Partenariat||FMAPDL072V50JZDU;Partenariat||FMAPDL072V50WGOI";;15/03/2025||31/03/2025||Jours fériés ouvert de 10h00 à 12h00 et de 14h00 à 18h30.||||||||||||||||||||||||||||||||||||||||||||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30,01/04/2025||30/06/2025||Jours fériés ouvert de 10h00 à 12h00 et de 14h00 à 18h30.||Fermé le lundi||||||||||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30,01/07/2025||31/08/2025||Ouvert tous les jours||||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30,01/09/2025||31/12/2025||Jours fériés ouvert de 10h00 à 12h00 et de 14h00 à 18h30.||Fermé le lundi||||||||||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||10:00||12:00||14:00||18:30||10:00||12:00||14:00||18:30;;;;oui;;;47.8142198, -0.0897256;Sarthe
Fabrique de soldats de plomb CBG Mignot;Métal,Sculpture;;;1 route de Bourgueil;;49390;;LA BREILLE-LES-PINS;;49045;47.341607;0.115357;;;02 41 38 79 77;;info@cbgmignot.com;http://www.cbgmignot.com;;;Facebook||https://www.facebook.com/CBGMIGNOT,Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g2545214-d10794803-Reviews-CBG_Mignot-La_Breille_les_Pins_Maine_et_Loire_Pays_de_la_Loire.html;;Artisanat / Art;;;oui;;oui;20;12;Anglais,Français;;;;;;;;;;;;;;;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.341607, 0.115357;Maine-et-Loire
